id	M28-0h-1	M28-0h-2	M28-0h-3	M28-1h-1	M28-1h-2	M28-1h-3	M28-2h-1	M28-2h-2	M28-2h-3	M28-4h-1	M28-4h-2	M28-4h-3	M28-8h-1	M28-8h-2	M28-8h-3	K326-0h-1	K326-0h-2	K326-0h-3	K326-1h-1	K326-1h-2	K326-1h-3	K326-2h-1	K326-2h-2	K326-2h-3	K326-4h-1	K326-4h-2	K326-4h-3	K326-8h-1	K326-8h-2	K326-8h-3
class	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	EMS_mutant	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326	K326
Nitab4.5_0000471g0100	9.488544	12.411211	11.864757	10.458293	13.74698	9.908834	10.267666	9.495358	11.175063	12.166265	12.641542	10.686936	12.592466	13.137378	16.23534	7.035004	8.447366	8.408456	6.749717	8.759018	6.904453	9.143161	9.777821	9.317589	7.691942	8.956061	6.109034	8.702831	11.490627	10.511776
Nitab4.5_0000002g0180	6.041749	5.152998	5.650367	6.364979	7.842281	7.63698	6.49858	7.429353	6.450144	6.987571	7.932927	6.459546	8.471042	8.868856	10.53012	5.243693	4.88363	6.052333	7.081324	6.384822	4.081932	6.75256	6.844951	5.610224	5.504563	7.06683	5.920617	6.573992	7.933157	7.045726
Nitab4.5_0002510g0040	14.787936	19.232046	16.210083	15.286134	15.369264	16.634893	16.298225	11.774509	12.850562	14.130002	12.343839	11.957079	21.187643	16.785246	19.641537	8.583256	11.482358	11.270879	14.019046	9.969374	11.61529	10.444509	10.705894	8.922398	7.862854	7.028499	7.3458	8.496404	8.879845	9.367798
Nitab4.5_0000013g0280	25.123716	23.591236	25.871571	9.249298	10.709357	12.0203	14.359328	12.871761	12.586638	13.4712	13.833112	14.783533	6.514412	4.324251	6.338367	25.129814	30.654821	26.345016	10.201856	11.493998	13.836793	6.762951	8.563561	5.861972	9.425035	7.457807	6.590346	5.550225	5.550311	3.85997
Nitab4.5_0000130g0380	0.937547	0.639688	0.788274	1.246639	1.383723	0.860777	0.83786	0.922641	0.755348	1.380127	0.783658	1.218002	5.460146	2.743366	2.800451	0.25652	0.411709	0.404934	2.212687	0.666601	1.131701	1.150588	1.335932	1.210002	1.63305	0.691436	1.285057	2.243699	2.086177	2.256222
Nitab4.5_0000785g0200	4.776437	5.229437	4.547193	5.270936	4.42136	6.25681	5.420372	5.386455	5.81424	4.604178	3.415259	5.472554	5.130746	5.282128	7.229175	3.382601	3.126005	3.51849	3.308188	3.936867	3.804821	3.95929	4.794468	4.322936	4.653754	3.836733	3.985394	5.44996	5.952235	5.274017
Nitab4.5_0001315g0290	3.30688	4.449817	3.131613	3.667763	2.85601	2.669001	4.395763	4.361286	2.784537	3.775346	5.113355	5.417243	5.788169	4.501748	1.338118	3.70687	3.696628	2.072201	5.127523	3.763912	2.652253	6.938428	3.546151	3.781032	3.794074	3.921464	3.969192	5.291808	4.212247	3.160572
Nitab4.5_0000256g0160	0	0	0	0	0	0	0	0	0	0	0	0.109452	0	0	0	0	0	0	0	0.116283	0	0	0	0	0	0	0	0	0	0
Nitab4.5_0003929g0010	16.797186	17.994198	20.737104	24.095917	23.256495	19.78145	20.691212	15.383003	17.471207	21.395153	16.955542	17.681896	29.018684	26.71998	17.962502	15.003752	12.577432	14.615637	16.996567	12.846354	16.057911	14.87302	15.443765	13.867023	19.999357	15.827665	14.887934	22.402559	19.842304	18.546175
